id,order_id,product_id,quantity,unit_price,currency,_loaded_at
69,66,37,2,72.95,USD,2025-01-01 02:00:00
70,67,14,1,234.75,USD,2025-01-01 02:00:00
71,68,69,5,37.96,USD,2025-01-01 02:00:00
72,69,22,1,367.45,USD,2025-01-01 02:00:00
73,70,44,3,99.53,USD,2025-01-01 02:00:00
74,71,78,4,39.21,USD,2025-01-01 02:00:00
75,72,11,1,445.70,USD,2025-01-01 02:00:00
76,73,87,8,15.49,USD,2025-01-01 02:00:00
77,74,33,1,278.50,USD,2025-01-01 02:00:00
78,75,50,2,94.88,EUR,2025-01-01 02:00:00
79,76,6,1,356.90,EUR,2025-01-01 02:00:00
80,77,75,6,39.11,USD,2025-01-01 02:00:00
81,78,28,1,167.80,USD,2025-01-01 02:00:00
82,79,9,1,423.55,USD,2025-01-01 02:00:00
83,80,41,3,99.62,USD,2025-01-01 02:00:00
84,81,83,9,16.19,EUR,2025-01-01 02:00:00
85,82,16,1,367.40,USD,2025-01-01 02:00:00
86,83,60,2,94.95,USD,2025-01-01 02:00:00
87,84,25,1,234.50,USD,2025-01-01 02:00:00
88,85,42,2,78.38,EUR,2025-01-01 02:00:00
89,86,8,1,389.99,USD,2025-01-01 02:00:00
90,87,73,5,55.68,GBP,2025-01-01 02:00:00
91,88,2,1,445.80,EUR,2025-01-01 02:00:00
92,89,91,3,55.75,USD,2025-01-01 02:00:00
93,90,105,2,149.33,XYZ,2025-01-01 02:00:00
94,91,17,1,189.90,EUR,2025-01-01 02:00:00
95,92,54,1,356.75,USD,2025-01-01 02:00:00
96,93,38,2,61.73,USD,2025-01-01 02:00:00
97,94,67,4,66.95,EUR,2025-01-01 02:00:00
98,95,9,1,423.55,USD,2025-01-01 02:00:00
99,96,103,3,59.63,ABC,2025-01-01 02:00:00
100,97,29,1,345.60,USD,2025-01-01 02:00:00
101,98,81,8,29.34,EUR,2025-01-01 02:00:00
102,99,46,2,94.73,USD,2025-01-01 02:00:00
103,100,15,2,149.40,USD,2025-01-01 02:00:00
104,101,33,1,156.90,EUR,2025-01-01 02:00:00
105,102,7,1,445.70,USD,2025-01-01 02:00:00
106,103,95,1,267.35,USD,2025-01-01 02:00:00
107,104,21,1,389.25,EUR,2025-01-01 02:00:00
108,105,107,2,89.30,QWE,2025-01-01 02:00:00
109,106,64,8,29.36,USD,2025-01-01 02:00:00
110,107,4,1,356.40,EUR,2025-01-01 02:00:00
111,108,88,4,30.94,USD,2025-01-01 02:00:00
112,109,52,1,298.55,USD,2025-01-01 02:00:00
113,110,36,3,63.27,EUR,2025-01-01 02:00:00
114,111,12,1,445.95,USD,2025-01-01 02:00:00
115,112,79,5,33.54,USD,2025-01-01 02:00:00
116,113,26,1,278.45,EUR,2025-01-01 02:00:00
117,114,61,7,50.97,USD,2025-01-01 02:00:00
118,115,102,2,117.30,ABC,2025-01-01 02:00:00
119,116,45,3,63.32,USD,2025-01-01 02:00:00
120,117,18,1,423.40,EUR,2025-01-01 02:00:00
121,118,93,1,156.85,USD,2025-01-01 02:00:00
122,119,31,1,298.70,USD,2025-01-01 02:00:00
123,120,74,7,38.18,EUR,2025-01-01 02:00:00
124,121,6,1,445.85,USD,2025-01-01 02:00:00
125,122,89,5,35.70,USD,2025-01-01 02:00:00
126,123,23,1,356.65,EUR,2025-01-01 02:00:00
127,124,57,2,117.45,USD,2025-01-01 02:00:00
128,125,108,3,62.92,XYZ,2025-01-01 02:00:00
129,126,40,2,149.43,EUR,2025-01-01 02:00:00
130,127,85,9,13.74,USD,2025-01-01 02:00:00
131,128,14,2,133.70,USD,2025-01-01 02:00:00
132,129,70,3,141.25,EUR,2025-01-01 02:00:00
133,130,96,1,156.70,USD,2025-01-01 02:00:00
134,131,3,1,445.60,USD,2025-01-01 02:00:00
135,132,48,3,59.62,EUR,2025-01-01 02:00:00
136,133,22,1,356.95,USD,2025-01-01 02:00:00
137,134,106,2,117.28,QWE,2025-01-01 02:00:00
138,135,77,4,47.48,USD,2025-01-01 02:00:00
139,136,35,1,298.45,EUR,2025-01-01 02:00:00
140,137,92,1,267.80,USD,2025-01-01 02:00:00
141,138,59,2,211.63,USD,2025-01-01 02:00:00
142,139,16,1,156.95,EUR,2025-01-01 02:00:00
143,140,104,3,148.57,ABC,2025-01-01 02:00:00
144,141,41,3,59.53,USD,2025-01-01 02:00:00
145,142,8,1,356.85,EUR,2025-01-01 02:00:00
146,143,66,10,23.48,USD,2025-01-01 02:00:00
147,144,28,1,189.50,USD,2025-01-01 02:00:00
148,145,75,6,49.82,EUR,2025-01-01 02:00:00
149,146,19,1,267.35,USD,2025-01-01 02:00:00
150,147,53,1,423.80,USD,2025-01-01 02:00:00
151,148,101,2,78.33,XYZ,2025-01-01 02:00:00
152,149,37,2,222.98,EUR,2025-01-01 02:00:00
153,150,84,9,19.67,USD,2025-01-01 02:00:00
154,151,11,1,356.45,USD,2025-01-01 02:00:00
155,152,49,2,117.40,EUR,2025-01-01 02:00:00
156,153,72,4,47.49,USD,2025-01-01 02:00:00
157,154,109,3,99.52,QWE,2025-01-01 02:00:00
158,155,27,2,133.85,USD,2025-01-01 02:00:00
159,156,60,2,211.73,EUR,2025-01-01 02:00:00
160,157,94,1,156.85,USD,2025-01-01 02:00:00
161,158,1,1,445.60,USD,2025-01-01 02:00:00
162,159,87,8,22.36,ABC,2025-01-01 02:00:00
163,160,34,1,356.75,EUR,2025-01-01 02:00:00
164,161,56,2,117.33,USD,2025-01-01 02:00:00
165,162,13,1,189.80,EUR,2025-01-01 02:00:00
166,163,110,3,148.65,USD,2025-01-01 02:00:00
167,164,71,4,41.85,XYZ,2025-01-01 02:00:00
168,165,24,1,298.75,USD,2025-01-01 02:00:00
169,166,39,2,178.30,EUR,2025-01-01 02:00:00
170,167,82,7,17.64,USD,2025-01-01 02:00:00
171,168,5,1,267.90,USD,2025-01-01 02:00:00
172,169,98,1,423.45,EUR,2025-01-01 02:00:00
173,170,47,3,59.57,ABC,2025-01-01 02:00:00
174,171,65,9,38.43,USD,2025-01-01 02:00:00
175,172,20,1,234.60,EUR,2025-01-01 02:00:00
176,173,86,8,23.74,USD,2025-01-01 02:00:00
177,174,32,1,298.50,USD,2025-01-01 02:00:00
178,175,101,2,78.38,QWE,2025-01-01 02:00:00
179,176,58,2,222.90,EUR,2025-01-01 02:00:00
180,177,76,6,44.58,USD,2025-01-01 02:00:00
181,178,9,1,389.70,USD,2025-01-01 02:00:00
182,179,43,3,59.62,EUR,2025-01-01 02:00:00
183,180,90,1,234.90,USD,2025-01-01 02:00:00
184,181,102,2,178.13,XYZ,2025-01-01 02:00:00
185,182,27,2,61.80,USD,2025-01-01 02:00:00
186,183,69,5,59.77,EUR,2025-01-01 02:00:00
187,184,16,1,189.40,USD,2025-01-01 02:00:00
188,185,51,1,445.65,USD,2025-01-01 02:00:00
189,186,104,3,55.97,ABC,2025-01-01 02:00:00
190,187,35,1,278.55,EUR,2025-01-01 02:00:00
191,188,78,4,105.95,USD,2025-01-01 02:00:00
192,189,22,1,156.45,USD,2025-01-01 02:00:00
193,190,106,2,172.85,QWE,2025-01-01 02:00:00
194,191,44,3,78.28,EUR,2025-01-01 02:00:00
195,192,87,8,23.58,USD,2025-01-01 02:00:00
196,193,11,1,298.95,USD,2025-01-01 02:00:00
197,194,63,7,23.90,EUR,2025-01-01 02:00:00
198,195,30,1,445.75,USD,2025-01-01 02:00:00
199,196,108,3,118.80,XYZ,2025-01-01 02:00:00
200,197,74,7,17.71,USD,2025-01-01 02:00:00
201,198,18,1,278.60,EUR,2025-01-01 02:00:00
202,199,55,2,94.93,USD,2025-01-01 02:00:00
203,200,97,1,423.50,USD,2025-01-01 02:00:00
204,201,103,2,78.40,ABC,2025-01-01 02:00:00
205,202,41,3,52.27,EUR,2025-01-01 02:00:00
206,203,84,9,17.39,USD,2025-01-01 02:00:00
207,204,26,1,234.85,USD,2025-01-01 02:00:00
208,205,109,3,62.83,QWE,2025-01-01 02:00:00
209,206,62,7,60.36,EUR,2025-01-01 02:00:00
210,207,19,1,189.50,USD,2025-01-01 02:00:00
211,208,75,6,70.66,USD,2025-01-01 02:00:00
212,209,105,2,83.75,XYZ,2025-01-01 02:00:00
213,210,38,2,211.83,EUR,2025-01-01 02:00:00
214,211,91,1,423.65,USD,2025-01-01 02:00:00
215,212,50,2,78.40,USD,2025-01-01 02:00:00
216,213,107,3,115.18,ABC,2025-01-01 02:00:00
217,214,29,1,298.90,EUR,2025-01-01 02:00:00
218,215,83,9,18.59,USD,2025-01-01 02:00:00
219,216,14,2,83.75,USD,2025-01-01 02:00:00
220,217,101,2,222.90,QWE,2025-01-01 02:00:00
221,218,46,2,178.28,EUR,2025-01-01 02:00:00
222,219,92,1,356.75,USD,2025-01-01 02:00:00
223,220,59,2,61.80,USD,2025-01-01 02:00:00
224,221,110,3,149.27,XYZ,2025-01-01 02:00:00
225,222,33,1,123.60,EUR,2025-01-01 02:00:00
226,223,77,4,69.74,USD,2025-01-01 02:00:00
227,224,21,1,234.50,USD,2025-01-01 02:00:00
228,225,104,3,55.95,ABC,2025-01-01 02:00:00
229,226,68,6,58.14,EUR,2025-01-01 02:00:00
230,227,95,1,423.70,USD,2025-01-01 02:00:00
231,228,42,2,78.48,USD,2025-01-01 02:00:00
232,229,106,2,172.80,QWE,2025-01-01 02:00:00
233,230,17,1,345.40,USD,2025-01-01 02:00:00
234,231,80,8,20.81,EUR,2025-01-01 02:00:00
235,232,54,1,445.55,USD,2025-01-01 02:00:00
236,233,102,2,178.45,XYZ,2025-01-01 02:00:00
237,234,28,1,123.45,EUR,2025-01-01 02:00:00
238,235,71,4,69.65,USD,2025-01-01 02:00:00
239,236,108,3,118.62,ABC,2025-01-01 02:00:00
240,237,45,3,63.23,USD,2025-01-01 02:00:00
241,238,89,5,79.90,EUR,2025-01-01 02:00:00
242,239,23,1,423.95,USD,2025-01-01 02:00:00
243,240,103,2,78.25,QWE,2025-01-01 02:00:00
244,241,66,10,15.65,EUR,2025-01-01 02:00:00
245,242,37,2,172.85,USD,2025-01-01 02:00:00
246,243,94,1,298.40,USD,2025-01-01 02:00:00
247,244,105,2,83.98,XYZ,2025-01-01 02:00:00
248,245,52,1,167.95,EUR,2025-01-01 02:00:00
249,246,15,2,222.85,USD,2025-01-01 02:00:00
250,247,107,3,115.23,ABC,2025-01-01 02:00:00
251,248,31,1,356.45,USD,2025-01-01 02:00:00
252,249,88,4,30.95,USD,2025-01-01 02:00:00
253,250,101,2,139.40,QWE,2025-01-01 02:00:00
254,251,64,8,34.59,EUR,2025-01-01 02:00:00
255,252,25,1,234.70,USD,2025-01-01 02:00:00
256,253,109,3,62.98,XYZ,2025-01-01 02:00:00
257,254,48,3,63.18,EUR,2025-01-01 02:00:00
258,255,93,1,189.95,USD,2025-01-01 02:00:00
259,256,36,3,141.20,USD,2025-01-01 02:00:00
260,257,102,2,178.30,ABC,2025-01-01 02:00:00
261,258,79,5,55.70,EUR,2025-01-01 02:00:00
262,259,56,2,211.98,USD,2025-01-01 02:00:00
263,260,104,3,55.87,QWE,2025-01-01 02:00:00
264,261,20,1,423.60,EUR,2025-01-01 02:00:00
265,262,85,9,17.31,USD,2025-01-01 02:00:00
266,263,41,3,52.25,USD,2025-01-01 02:00:00
267,264,106,2,172.75,XYZ,2025-01-01 02:00:00
268,265,73,5,33.52,EUR,2025-01-01 02:00:00
269,266,58,2,149.45,USD,2025-01-01 02:00:00
270,267,110,3,149.30,ABC,2025-01-01 02:00:00
271,268,34,1,298.35,USD,2025-01-01 02:00:00
272,269,91,1,167.60,QWE,2025-01-01 02:00:00
273,270,47,3,148.62,EUR,2025-01-01 02:00:00
274,271,103,2,78.43,USD,2025-01-01 02:00:00
275,272,26,1,356.50,USD,2025-01-01 02:00:00
276,273,82,7,17.71,XYZ,2025-01-01 02:00:00
277,274,59,2,117.48,EUR,2025-01-01 02:00:00
278,275,105,2,83.95,ABC,2025-01-01 02:00:00
279,276,18,1,234.85,USD,2025-01-01 02:00:00
280,277,74,7,24.07,USD,2025-01-01 02:00:00
281,278,107,3,115.32,QWE,2025-01-01 02:00:00
282,279,43,3,63.17,EUR,2025-01-01 02:00:00
283,280,96,1,189.50,USD,2025-01-01 02:00:00
284,281,101,2,211.98,XYZ,2025-01-01 02:00:00
285,282,55,2,78.48,EUR,2025-01-01 02:00:00
286,283,29,1,423.95,USD,2025-01-01 02:00:00
287,284,108,3,118.67,ABC,2025-01-01 02:00:00
288,285,72,4,41.88,USD,2025-01-01 02:00:00
289,286,39,2,222.83,QWE,2025-01-01 02:00:00
290,287,87,8,55.99,EUR,2025-01-01 02:00:00
291,288,24,1,298.75,USD,2025-01-01 02:00:00
292,289,102,2,178.25,XYZ,2025-01-01 02:00:00
293,290,67,4,41.74,USD,2025-01-01 02:00:00
294,291,104,3,55.93,ABC,2025-01-01 02:00:00
295,292,32,1,356.60,EUR,2025-01-01 02:00:00
296,293,90,1,123.85,USD,2025-01-01 02:00:00
297,294,106,2,172.70,QWE,2025-01-01 02:00:00
298,295,51,1,278.40,USD,2025-01-01 02:00:00
299,296,109,3,62.95,XYZ,2025-01-01 02:00:00
300,297,16,1,234.85,EUR,2025-01-01 02:00:00
301,298,76,6,31.42,USD,2025-01-01 02:00:00
302,299,103,2,78.40,ABC,2025-01-01 02:00:00
303,300,44,3,149.20,USD,2025-01-01 02:00:00
