id,customer_id,order_date,total_amount,currency,status,_loaded_at
126,26,2024-10-24 11:25:00,298.85,EUR,completed,2025-01-01 02:00:00
127,27,2024-10-26 16:50:00,123.65,USD,completed,2025-01-01 02:00:00
128,28,2024-10-28 13:15:00,267.40,USD,completed,2025-01-01 02:00:00
129,29,2024-10-30 10:40:00,423.75,EUR,completed,2025-01-01 02:00:00
130,30,2024-11-01 15:25:00,156.70,USD,completed,2025-01-01 02:00:00
131,31,2024-11-03 12:50:00,445.60,USD,completed,2025-01-01 02:00:00
132,32,2024-11-05 09:35:00,178.85,EUR,completed,2025-01-01 02:00:00
133,33,2024-11-07 14:20:00,356.95,USD,completed,2025-01-01 02:00:00
134,34,2024-11-09 11:45:00,234.55,QWE,completed,2025-01-01 02:00:00
135,35,2024-11-11 16:30:00,189.90,USD,completed,2025-01-01 02:00:00
136,36,2024-11-13 13:55:00,298.45,EUR,completed,2025-01-01 02:00:00
137,37,2024-11-15 10:10:00,267.80,USD,completed,2025-01-01 02:00:00
138,38,2024-11-17 15:35:00,423.25,USD,completed,2025-01-01 02:00:00
139,39,2024-11-19 12:20:00,156.95,EUR,completed,2025-01-01 02:00:00
140,40,2024-11-21 09:45:00,445.70,ABC,completed,2025-01-01 02:00:00
141,41,2024-11-23 14:30:00,178.60,USD,completed,2025-01-01 02:00:00
142,42,2024-11-25 11:55:00,356.85,EUR,completed,2025-01-01 02:00:00
143,43,2024-11-27 16:40:00,234.75,USD,completed,2025-01-01 02:00:00
144,44,2024-11-29 13:25:00,189.50,USD,completed,2025-01-01 02:00:00
145,45,2024-12-01 10:50:00,298.90,EUR,completed,2025-01-01 02:00:00
146,46,2024-12-03 15:15:00,267.35,USD,completed,2025-01-01 02:00:00
147,47,2024-12-05 12:40:00,423.80,USD,completed,2025-01-01 02:00:00
148,48,2024-12-07 09:25:00,156.65,XYZ,completed,2025-01-01 02:00:00
149,49,2024-12-09 14:50:00,445.95,EUR,completed,2025-01-01 02:00:00
150,50,2024-12-11 11:35:00,178.70,USD,completed,2025-01-01 02:00:00
151,1,2024-12-13 16:20:00,356.45,USD,completed,2025-01-01 02:00:00
152,2,2024-12-15 13:45:00,234.80,EUR,completed,2025-01-01 02:00:00
153,3,2024-12-17 10:30:00,189.95,USD,completed,2025-01-01 02:00:00
154,4,2024-12-19 15:55:00,298.55,QWE,completed,2025-01-01 02:00:00
155,5,2024-12-21 12:10:00,267.70,USD,completed,2025-01-01 02:00:00
156,6,2024-12-23 09:35:00,423.45,EUR,completed,2025-01-01 02:00:00
157,7,2024-12-25 14:20:00,156.85,USD,completed,2025-01-01 02:00:00
158,8,2024-12-27 11:45:00,445.60,USD,completed,2025-01-01 02:00:00
159,9,2024-12-29 16:30:00,178.90,ABC,completed,2025-01-01 02:00:00
160,10,2024-12-31 13:15:00,356.75,EUR,completed,2025-01-01 02:00:00
161,11,2024-08-02 10:20:00,234.65,USD,completed,2025-01-01 02:00:00
162,12,2024-08-04 15:35:00,189.80,EUR,completed,2025-01-01 02:00:00
163,13,2024-08-06 12:50:00,445.95,USD,completed,2025-01-01 02:00:00
164,14,2024-08-08 09:15:00,167.40,XYZ,completed,2025-01-01 02:00:00
165,15,2024-08-10 14:30:00,298.75,USD,completed,2025-01-01 02:00:00
166,16,2024-08-12 11:45:00,356.60,EUR,completed,2025-01-01 02:00:00
167,17,2024-08-14 16:20:00,123.85,USD,completed,2025-01-01 02:00:00
168,18,2024-08-16 13:35:00,267.90,USD,completed,2025-01-01 02:00:00
169,19,2024-08-18 10:50:00,423.45,EUR,completed,2025-01-01 02:00:00
170,20,2024-08-20 15:25:00,178.70,ABC,completed,2025-01-01 02:00:00
171,21,2024-08-22 12:40:00,345.85,USD,completed,2025-01-01 02:00:00
172,22,2024-08-24 09:55:00,234.60,EUR,completed,2025-01-01 02:00:00
173,23,2024-08-26 14:10:00,189.95,USD,completed,2025-01-01 02:00:00
174,24,2024-08-28 11:25:00,298.50,USD,completed,2025-01-01 02:00:00
175,25,2024-08-30 16:40:00,156.75,QWE,completed,2025-01-01 02:00:00
176,26,2024-09-01 13:15:00,445.80,EUR,completed,2025-01-01 02:00:00
177,27,2024-09-03 10:30:00,267.45,USD,completed,2025-01-01 02:00:00
178,28,2024-09-05 15:45:00,389.70,USD,completed,2025-01-01 02:00:00
179,29,2024-09-07 12:20:00,178.85,EUR,completed,2025-01-01 02:00:00
180,30,2024-09-09 09:35:00,234.90,USD,completed,2025-01-01 02:00:00
181,31,2024-09-11 14:50:00,356.25,XYZ,completed,2025-01-01 02:00:00
182,32,2024-09-13 11:15:00,123.60,USD,completed,2025-01-01 02:00:00
183,33,2024-09-15 16:30:00,298.85,EUR,completed,2025-01-01 02:00:00
184,34,2024-09-17 13:45:00,189.40,USD,completed,2025-01-01 02:00:00
185,35,2024-09-19 10:20:00,445.65,USD,completed,2025-01-01 02:00:00
186,36,2024-09-21 15:35:00,167.90,ABC,completed,2025-01-01 02:00:00
187,37,2024-09-23 12:50:00,278.55,EUR,completed,2025-01-01 02:00:00
188,38,2024-09-25 09:25:00,423.80,USD,completed,2025-01-01 02:00:00
189,39,2024-09-27 14:40:00,156.45,USD,completed,2025-01-01 02:00:00
190,40,2024-09-29 11:55:00,345.70,QWE,completed,2025-01-01 02:00:00
191,41,2024-10-01 16:10:00,234.85,EUR,completed,2025-01-01 02:00:00
192,42,2024-10-03 13:25:00,189.60,USD,completed,2025-01-01 02:00:00
193,43,2024-10-05 10:40:00,298.95,USD,completed,2025-01-01 02:00:00
194,44,2024-10-07 15:55:00,167.30,EUR,completed,2025-01-01 02:00:00
195,45,2024-10-09 12:30:00,445.75,USD,completed,2025-01-01 02:00:00
196,46,2024-10-11 09:45:00,356.40,XYZ,completed,2025-01-01 02:00:00
197,47,2024-10-13 14:20:00,123.95,USD,completed,2025-01-01 02:00:00
198,48,2024-10-15 11:35:00,278.60,EUR,completed,2025-01-01 02:00:00
199,49,2024-10-17 16:50:00,189.85,USD,completed,2025-01-01 02:00:00
200,50,2024-10-19 13:15:00,423.50,USD,completed,2025-01-01 02:00:00
201,1,2024-10-21 10:30:00,156.80,ABC,completed,2025-01-01 02:00:00
202,2,2024-10-23 15:45:00,345.65,EUR,completed,2025-01-01 02:00:00
203,3,2024-10-25 12:20:00,234.70,USD,completed,2025-01-01 02:00:00
204,4,2024-10-27 09:35:00,298.45,USD,completed,2025-01-01 02:00:00
205,5,2024-10-29 14:50:00,167.95,QWE,completed,2025-01-01 02:00:00
206,6,2024-10-31 11:25:00,445.85,EUR,completed,2025-01-01 02:00:00
207,7,2024-11-02 16:40:00,189.75,USD,completed,2025-01-01 02:00:00
208,8,2024-11-04 13:55:00,356.90,USD,completed,2025-01-01 02:00:00
209,9,2024-11-06 10:30:00,123.50,EUR,completed,2025-01-01 02:00:00
210,10,2024-11-08 15:45:00,278.85,USD,completed,2025-01-01 02:00:00
211,11,2024-11-10 12:20:00,234.60,XYZ,completed,2025-01-01 02:00:00
212,12,2024-11-12 09:35:00,423.95,USD,completed,2025-01-01 02:00:00
213,13,2024-11-14 14:50:00,156.70,EUR,completed,2025-01-01 02:00:00
214,14,2024-11-16 11:15:00,345.80,USD,completed,2025-01-01 02:00:00
215,15,2024-11-18 16:30:00,189.45,USD,completed,2025-01-01 02:00:00
216,16,2024-11-20 13:45:00,298.65,ABC,completed,2025-01-01 02:00:00
217,17,2024-11-22 10:20:00,167.85,EUR,completed,2025-01-01 02:00:00
218,18,2024-11-24 15:35:00,445.70,USD,completed,2025-01-01 02:00:00
219,19,2024-11-26 12:50:00,356.55,USD,completed,2025-01-01 02:00:00
220,20,2024-11-28 09:25:00,123.90,QWE,completed,2025-01-01 02:00:00
221,21,2024-11-30 14:40:00,278.75,EUR,completed,2025-01-01 02:00:00
222,22,2024-12-02 11:55:00,234.50,USD,completed,2025-01-01 02:00:00
223,23,2024-12-04 16:30:00,189.95,USD,completed,2025-01-01 02:00:00
224,24,2024-12-06 13:45:00,423.60,EUR,completed,2025-01-01 02:00:00
225,25,2024-12-08 10:20:00,156.85,XYZ,completed,2025-01-01 02:00:00
226,26,2024-12-10 15:35:00,345.75,USD,completed,2025-01-01 02:00:00
227,27,2024-12-12 12:50:00,298.40,EUR,completed,2025-01-01 02:00:00
228,28,2024-12-14 09:15:00,167.60,USD,completed,2025-01-01 02:00:00
229,29,2024-12-16 14:30:00,445.85,USD,completed,2025-01-01 02:00:00
230,30,2024-12-18 11:45:00,356.70,ABC,completed,2025-01-01 02:00:00
231,31,2024-12-20 16:20:00,123.55,EUR,completed,2025-01-01 02:00:00
232,32,2024-12-22 13:35:00,278.90,USD,completed,2025-01-01 02:00:00
233,33,2024-12-24 10:50:00,234.65,USD,completed,2025-01-01 02:00:00
234,34,2024-12-26 15:25:00,189.80,QWE,completed,2025-01-01 02:00:00
235,35,2024-12-28 12:40:00,423.75,EUR,completed,2025-01-01 02:00:00
236,36,2024-12-30 09:55:00,156.90,USD,completed,2025-01-01 02:00:00
237,37,2024-08-01 14:15:00,298.55,USD,completed,2025-01-01 02:00:00
238,38,2024-08-03 11:30:00,167.70,XYZ,completed,2025-01-01 02:00:00
239,39,2024-08-05 16:45:00,445.60,EUR,completed,2025-01-01 02:00:00
240,40,2024-08-07 13:20:00,356.85,USD,completed,2025-01-01 02:00:00
241,41,2024-08-09 10:35:00,123.75,USD,completed,2025-01-01 02:00:00
242,42,2024-08-11 15:50:00,278.40,ABC,completed,2025-01-01 02:00:00
243,43,2024-08-13 12:25:00,234.95,EUR,completed,2025-01-01 02:00:00
244,44,2024-08-15 09:40:00,189.60,USD,completed,2025-01-01 02:00:00
245,45,2024-08-17 14:55:00,423.85,USD,completed,2025-01-01 02:00:00
246,46,2024-08-19 11:30:00,156.45,QWE,completed,2025-01-01 02:00:00
247,47,2024-08-21 16:45:00,345.90,EUR,completed,2025-01-01 02:00:00
248,48,2024-08-23 13:20:00,298.75,USD,completed,2025-01-01 02:00:00
249,49,2024-08-25 10:35:00,167.50,USD,completed,2025-01-01 02:00:00
250,50,2024-08-27 15:50:00,445.95,XYZ,completed,2025-01-01 02:00:00
251,1,2024-08-29 12:25:00,356.60,EUR,completed,2025-01-01 02:00:00
252,2,2024-08-31 09:40:00,123.85,USD,completed,2025-01-01 02:00:00
253,3,2024-09-02 14:55:00,278.70,USD,completed,2025-01-01 02:00:00
254,4,2024-09-04 11:30:00,234.45,ABC,completed,2025-01-01 02:00:00
255,5,2024-09-06 16:45:00,189.90,EUR,completed,2025-01-01 02:00:00
256,6,2024-09-08 13:20:00,423.65,USD,completed,2025-01-01 02:00:00
257,7,2024-09-10 10:35:00,156.80,USD,completed,2025-01-01 02:00:00
258,8,2024-09-12 15:50:00,345.55,QWE,completed,2025-01-01 02:00:00
259,9,2024-09-14 12:25:00,298.90,EUR,completed,2025-01-01 02:00:00
260,10,2024-09-16 09:40:00,167.35,USD,completed,2025-01-01 02:00:00
261,11,2024-09-18 14:55:00,445.80,USD,completed,2025-01-01 02:00:00
262,12,2024-09-20 11:30:00,356.75,XYZ,completed,2025-01-01 02:00:00
263,13,2024-09-22 16:45:00,123.60,EUR,completed,2025-01-01 02:00:00
264,14,2024-09-24 13:20:00,278.95,USD,completed,2025-01-01 02:00:00
265,15,2024-09-26 10:35:00,234.50,USD,completed,2025-01-01 02:00:00
266,16,2024-09-28 15:50:00,189.85,ABC,completed,2025-01-01 02:00:00
267,17,2024-09-30 12:25:00,423.70,EUR,completed,2025-01-01 02:00:00
268,18,2024-10-02 09:40:00,156.95,USD,completed,2025-01-01 02:00:00
269,19,2024-10-04 14:55:00,345.40,USD,completed,2025-01-01 02:00:00
270,20,2024-10-06 11:30:00,298.65,QWE,completed,2025-01-01 02:00:00
271,21,2024-10-08 16:45:00,167.80,EUR,completed,2025-01-01 02:00:00
272,22,2024-10-10 13:20:00,445.55,USD,completed,2025-01-01 02:00:00
273,23,2024-10-12 10:35:00,356.90,USD,completed,2025-01-01 02:00:00
274,24,2024-10-14 15:50:00,123.45,XYZ,completed,2025-01-01 02:00:00
275,25,2024-10-16 12:25:00,278.60,EUR,completed,2025-01-01 02:00:00
276,26,2024-10-18 09:40:00,234.85,USD,completed,2025-01-01 02:00:00
277,27,2024-10-20 14:55:00,189.70,USD,completed,2025-01-01 02:00:00
278,28,2024-10-22 11:30:00,423.95,ABC,completed,2025-01-01 02:00:00
279,29,2024-10-24 16:45:00,156.50,EUR,completed,2025-01-01 02:00:00
280,30,2024-10-26 13:20:00,345.85,USD,completed,2025-01-01 02:00:00
281,31,2024-10-28 10:35:00,298.40,USD,completed,2025-01-01 02:00:00
282,32,2024-10-30 15:50:00,167.95,QWE,completed,2025-01-01 02:00:00
283,33,2024-11-01 12:25:00,445.70,EUR,completed,2025-01-01 02:00:00
284,34,2024-11-03 09:40:00,356.45,USD,completed,2025-01-01 02:00:00
285,35,2024-11-05 14:55:00,123.80,USD,completed,2025-01-01 02:00:00
286,36,2024-11-07 11:30:00,278.55,XYZ,completed,2025-01-01 02:00:00
287,37,2024-11-09 16:45:00,234.70,EUR,completed,2025-01-01 02:00:00
288,38,2024-11-11 13:20:00,189.95,USD,completed,2025-01-01 02:00:00
289,39,2024-11-13 10:35:00,423.60,USD,completed,2025-01-01 02:00:00
290,40,2024-11-15 15:50:00,156.75,ABC,completed,2025-01-01 02:00:00
291,41,2024-11-17 12:25:00,345.90,EUR,completed,2025-01-01 02:00:00
292,42,2024-11-19 09:40:00,298.35,USD,completed,2025-01-01 02:00:00
293,43,2024-11-21 14:55:00,167.60,USD,completed,2025-01-01 02:00:00
294,44,2024-11-23 11:30:00,445.85,QWE,completed,2025-01-01 02:00:00
295,45,2024-11-25 16:45:00,356.50,EUR,completed,2025-01-01 02:00:00
296,46,2024-11-27 13:20:00,123.95,USD,completed,2025-01-01 02:00:00
297,47,2024-11-29 10:35:00,278.40,USD,completed,2025-01-01 02:00:00
298,48,2024-12-01 15:50:00,234.85,XYZ,completed,2025-01-01 02:00:00
299,49,2024-12-03 12:25:00,189.50,EUR,completed,2025-01-01 02:00:00
300,50,2024-12-05 09:40:00,423.95,USD,completed,2025-01-01 02:00:00
